[03/02/2024 17:13:08] [INFO] received Windows console close event; shutting log-core down
[03/02/2024 17:13:44] [INFO] received Windows console close event; shutting log-core down
[03/02/2024 17:14:05] [INFO] received Windows console close event; shutting log-core down
[03/02/2024 17:45:03] [INFO] received Windows console close event; shutting log-core down
[03/02/2024 20:00:42] [INFO] received Windows console close event; shutting log-core down
[03/02/2024 20:14:44] [INFO] received Windows console close event; shutting log-core down
[03/02/2024 20:18:26] [INFO] received Windows console close event; shutting log-core down
[03/02/2024 20:18:27] [INFO] received Windows console close event; shutting log-core down
[03/02/2024 20:18:33] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[03/02/2024 20:22:42] [INFO] received Windows console close event; shutting log-core down
[03/02/2024 20:26:12] [INFO] received Windows console close event; shutting log-core down
[03/02/2024 20:31:53] [INFO] received Windows console close event; shutting log-core down
[03/02/2024 20:35:07] [INFO] received Windows console close event; shutting log-core down
[03/02/2024 20:38:44] [INFO] received Windows console close event; shutting log-core down
[03/02/2024 20:47:47] [INFO] received Windows console close event; shutting log-core down
[03/02/2024 20:57:43] [INFO] received Windows console close event; shutting log-core down
[04/02/2024 13:56:48] [INFO] received Windows console close event; shutting log-core down
[04/02/2024 17:54:30] [INFO] received Windows console close event; shutting log-core down
[04/02/2024 20:02:05] [INFO] received Windows console close event; shutting log-core down
[04/02/2024 20:08:30] [INFO] received Windows console close event; shutting log-core down
[04/02/2024 20:14:23] [INFO] received Windows console close event; shutting log-core down
[05/02/2024 11:13:14] [INFO] received Windows console close event; shutting log-core down
[05/02/2024 12:03:16] [INFO] received Windows console close event; shutting log-core down
[05/02/2024 12:33:17] [INFO] received Windows console close event; shutting log-core down
[05/02/2024 12:46:19] [INFO] received Windows console close event; shutting log-core down
[05/02/2024 14:28:54] [INFO] received Windows console close event; shutting log-core down
[05/02/2024 21:23:57] [INFO] received Windows console close event; shutting log-core down
[05/02/2024 21:48:07] [INFO] received Windows console close event; shutting log-core down
[05/02/2024 22:13:52] [INFO] received Windows console close event; shutting log-core down
[05/02/2024 22:15:52] [INFO] received Windows console close event; shutting log-core down
[05/02/2024 22:33:32] [INFO] received Windows console close event; shutting log-core down
[05/02/2024 22:43:12] [INFO] received Windows console close event; shutting log-core down
[05/02/2024 22:52:57] [INFO] received Windows console close event; shutting log-core down
[05/02/2024 23:02:51] [INFO] received Windows console close event; shutting log-core down
[05/02/2024 23:12:01] [INFO] received Windows console close event; shutting log-core down
[06/02/2024 11:47:11] [INFO] received Windows console close event; shutting log-core down
[06/02/2024 11:51:45] [INFO] received Windows console close event; shutting log-core down
[06/02/2024 11:56:28] [INFO] received Windows console close event; shutting log-core down
[06/02/2024 14:47:28] [INFO] received Windows console close event; shutting log-core down
[07/02/2024 12:00:03] [INFO] received Windows console close event; shutting log-core down
[07/02/2024 17:09:50] [INFO] received Windows console close event; shutting log-core down
[07/02/2024 19:22:08] [INFO] received Windows console close event; shutting log-core down
[07/02/2024 19:53:34] [INFO] received Windows console close event; shutting log-core down
[07/02/2024 20:10:37] [INFO] received Windows console close event; shutting log-core down
[07/02/2024 20:18:38] [INFO] received Windows console close event; shutting log-core down
[07/02/2024 20:39:57] [INFO] received Windows console close event; shutting log-core down
[07/02/2024 20:42:37] [INFO] received Windows console close event; shutting log-core down
[07/02/2024 20:54:23] [INFO] received Windows console close event; shutting log-core down
[07/02/2024 22:51:01] [INFO] received Windows console close event; shutting log-core down
[09/02/2024 19:33:53] [INFO] received Windows console close event; shutting log-core down
[09/02/2024 19:34:27] [INFO] received Windows console close event; shutting log-core down
[09/02/2024 20:14:09] [INFO] received Windows console close event; shutting log-core down
[09/02/2024 22:15:53] [INFO] received Windows console close event; shutting log-core down
[10/02/2024 00:02:10] [INFO] received Windows console close event; shutting log-core down
[10/02/2024 00:04:04] [INFO] received Windows console close event; shutting log-core down
[10/02/2024 00:06:12] [INFO] received Windows console close event; shutting log-core down
[10/02/2024 00:57:17] [INFO] received Windows console close event; shutting log-core down
[10/02/2024 01:14:40] [INFO] received Windows console close event; shutting log-core down
[26/10/2024 22:33:17] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 00:30:24] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 00:30:37] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 00:31:37] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 00:35:18] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 00:35:26] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 00:39:09] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 00:48:40] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 00:49:27] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 00:53:14] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 01:15:06] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 01:16:25] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 01:24:40] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 01:51:57] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 01:52:00] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 02:15:15] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 02:51:13] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 12:00:20] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 12:11:38] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 12:29:19] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 12:38:48] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 13:12:34] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 14:42:03] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 14:53:07] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 15:33:08] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 16:09:44] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 16:18:18] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 16:56:49] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 17:23:37] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 17:27:25] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 18:24:35] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 18:58:55] [INFO] received Windows console close event; shutting log-core down
[27/10/2024 19:47:42] [INFO] received Windows console close event; shutting log-core down
[28/10/2024 01:01:51] [INFO] received Windows console close event; shutting log-core down
[28/10/2024 14:51:33] [INFO] received Windows console close event; shutting log-core down
[31/10/2024 01:27:01] [INFO] received Windows console close event; shutting log-core down
[01/11/2024 01:57:54] [INFO] received Windows console close event; shutting log-core down
[05/11/2024 02:06:04] [INFO] received Windows console close event; shutting log-core down
[05/11/2024 11:25:21] [INFO] received Windows console close event; shutting log-core down
[05/11/2024 16:54:44] [INFO] received Windows console close event; shutting log-core down
[07/11/2024 02:03:57] [INFO] received Windows console close event; shutting log-core down
[11/11/2024 01:31:39] [INFO] received Windows console close event; shutting log-core down
[13/11/2024 17:52:50] [INFO] received Windows console close event; shutting log-core down
[14/11/2024 01:26:29] [INFO] received Windows console close event; shutting log-core down
[18/11/2024 00:59:15] [INFO] received Windows console close event; shutting log-core down
[06/04/2025 02:16:02] [INFO] received Windows console close event; shutting log-core down
[06/04/2025 12:13:20] [INFO] received Windows console close event; shutting log-core down
[06/04/2025 17:13:04] [INFO] received Windows console close event; shutting log-core down
[06/04/2025 17:33:40] [INFO] received Windows console close event; shutting log-core down
[06/04/2025 18:55:10] [INFO] received Windows console close event; shutting log-core down
[06/04/2025 19:49:46] [INFO] received Windows console close event; shutting log-core down
[07/04/2025 00:34:50] [INFO] received Windows console close event; shutting log-core down
[07/04/2025 11:54:49] [INFO] received Windows console close event; shutting log-core down
[07/04/2025 23:01:34] [INFO] received Windows console close event; shutting log-core down
[08/04/2025 00:31:49] [INFO] received Windows console close event; shutting log-core down
[08/04/2025 00:58:44] [INFO] received Windows console close event; shutting log-core down
[08/04/2025 01:02:34] [INFO] received Windows console close event; shutting log-core down
[08/04/2025 01:10:14] [INFO] received Windows console close event; shutting log-core down
[08/04/2025 01:15:09] [INFO] received Windows console close event; shutting log-core down
[08/04/2025 01:32:25] [INFO] received Windows console close event; shutting log-core down
[08/04/2025 01:57:12] [INFO] received Windows console close event; shutting log-core down
[08/04/2025 02:07:07] [INFO] received Windows console close event; shutting log-core down
[08/04/2025 11:13:05] [INFO] received Windows console close event; shutting log-core down
[08/04/2025 15:26:28] [INFO] received Windows console close event; shutting log-core down
[08/04/2025 15:43:34] [INFO] received Windows console close event; shutting log-core down
[08/04/2025 15:46:34] [INFO] received Windows console close event; shutting log-core down
[08/04/2025 15:47:51] [INFO] received Windows console close event; shutting log-core down
[08/04/2025 16:14:48] [INFO] received Windows console close event; shutting log-core down
[08/04/2025 16:16:54] [INFO] received Windows console close event; shutting log-core down
[08/04/2025 16:32:30] [INFO] received Windows console close event; shutting log-core down
[08/04/2025 16:51:42] [INFO] received Windows console close event; shutting log-core down
[08/04/2025 17:06:59] [INFO] received Windows console close event; shutting log-core down
[08/04/2025 21:47:21] [INFO] received Windows console close event; shutting log-core down
[08/04/2025 22:19:15] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[08/04/2025 22:23:55] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[08/04/2025 22:27:52] [INFO] received Windows console close event; shutting log-core down
[08/04/2025 22:33:17] [INFO] received Windows console close event; shutting log-core down
[09/04/2025 00:37:41] [INFO] received Windows console close event; shutting log-core down
[10/04/2025 01:29:17] [INFO] received Windows console close event; shutting log-core down
[10/04/2025 21:07:06] [INFO] received Windows console close event; shutting log-core down
[11/04/2025 00:51:06] [INFO] received Windows console close event; shutting log-core down
[11/04/2025 15:34:13] [INFO] received Windows console close event; shutting log-core down
[20/04/2025 15:45:25] [INFO] received Windows console close event; shutting log-core down
[18/05/2025 01:19:17] [INFO] received Windows console close event; shutting log-core down
[14/08/2025 01:03:48] [INFO] received Windows console close event; shutting log-core down
[05/09/2025 16:01:16] [INFO] received Windows console close event; shutting log-core down
[05/09/2025 16:35:07] [INFO] received Windows console close event; shutting log-core down
[05/09/2025 16:35:21] [INFO] received Windows console close event; shutting log-core down
[05/09/2025 16:48:27] [INFO] received Windows console close event; shutting log-core down
[05/09/2025 17:44:54] [INFO] received Windows console close event; shutting log-core down
[05/09/2025 17:53:45] [INFO] received Windows console close event; shutting log-core down
[05/09/2025 23:55:34] [INFO] received Windows console close event; shutting log-core down
[06/09/2025 11:02:59] [INFO] received Windows console close event; shutting log-core down
[06/09/2025 11:07:25] [INFO] received Windows console close event; shutting log-core down
[06/09/2025 11:28:26] [INFO] received Windows console close event; shutting log-core down
[06/09/2025 11:36:06] [INFO] received Windows console close event; shutting log-core down
[06/09/2025 11:54:54] [INFO] received Windows console close event; shutting log-core down
[06/09/2025 14:28:46] [INFO] received Windows console close event; shutting log-core down
[06/09/2025 14:45:22] [INFO] received Windows console close event; shutting log-core down
[06/09/2025 15:06:00] [INFO] received Windows console close event; shutting log-core down
[12/09/2025 21:59:54] [INFO] received Windows console close event; shutting log-core down
[12/09/2025 17:17:25] [INFO] received Windows console close event; shutting log-core down
[12/09/2025 19:13:15] [INFO] received Windows console close event; shutting log-core down
[14/09/2025 00:31:22] [INFO] received Windows console close event; shutting log-core down
[15/09/2025 02:50:09] [INFO] received Windows console close event; shutting log-core down
[15/09/2025 17:57:40] [INFO] received Windows console close event; shutting log-core down
[07/10/2025 15:27:27] [INFO] received Windows console close event; shutting log-core down
[17/10/2025 16:25:17] [INFO] received Windows console close event; shutting log-core down
[01/11/2025 14:47:45] [INFO] received Windows console close event; shutting log-core down
[01/11/2025 15:04:38] [INFO] received Windows console close event; shutting log-core down
[01/11/2025 16:47:57] [INFO] received Windows console close event; shutting log-core down
[04/11/2025 00:00:38] [INFO] received Windows console close event; shutting log-core down
[04/11/2025 00:45:09] [INFO] received Windows console close event; shutting log-core down
[04/11/2025 02:41:28] [INFO] received Windows console close event; shutting log-core down
[05/11/2025 01:08:52] [INFO] received Windows console close event; shutting log-core down
[05/11/2025 11:29:40] [INFO] received Windows console close event; shutting log-core down
[06/11/2025 01:01:47] [INFO] received Windows console close event; shutting log-core down
[07/11/2025 01:58:19] [INFO] received Windows console close event; shutting log-core down
[08/11/2025 00:52:31] [INFO] received Windows console close event; shutting log-core down
[08/11/2025 11:51:37] [INFO] received Windows console close event; shutting log-core down
[08/11/2025 17:25:33] [INFO] received Windows console close event; shutting log-core down
[08/11/2025 18:12:02] [INFO] received Windows console close event; shutting log-core down
[09/11/2025 01:57:40] [INFO] received Windows console close event; shutting log-core down
[09/11/2025 15:49:28] [INFO] received Windows console close event; shutting log-core down
[09/11/2025 16:00:53] [INFO] received Windows console close event; shutting log-core down
[09/11/2025 19:41:39] [INFO] received Windows console close event; shutting log-core down
[10/11/2025 01:04:52] [INFO] received Windows console close event; shutting log-core down
[14/11/2025 15:17:13] [INFO] received Windows console close event; shutting log-core down
[23/01/2026 03:46:24] [INFO] received Windows console close event; shutting log-core down
[11/08/2026 23:06:26] [INFO] received Windows console close event; shutting log-core down
[12/08/2026 21:34:18] [INFO] received Windows console close event; shutting log-core down
[12/08/2026 22:18:39] [INFO] received Windows console close event; shutting log-core down
[12/08/2026 22:27:47] [INFO] received Windows console close event; shutting log-core down
[12/08/2026 22:45:21] [INFO] received Windows console close event; shutting log-core down
[12/08/2026 22:49:55] [INFO] received Windows console close event; shutting log-core down
[12/08/2026 23:21:08] [INFO] received Windows console close event; shutting log-core down
[13/08/2026 18:00:13] [INFO] received Windows console close event; shutting log-core down
[13/08/2026 22:20:16] [INFO] received Windows console close event; shutting log-core down
[13/08/2026 22:49:37] [INFO] received Windows console close event; shutting log-core down
[13/08/2026 23:17:16] [INFO] received Windows console close event; shutting log-core down
[13/08/2026 23:25:03] [INFO] received Windows console close event; shutting log-core down
[13/08/2026 23:29:47] [INFO] received Windows console close event; shutting log-core down
